Dataset,URL,File
Statmt-news_commentary-18.1-ces-eng,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.cs-en.tsv.gz,
Statmt-news_commentary-18.1-deu-eng,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.de-en.tsv.gz,
Statmt-news_commentary-18.1-eng-spa,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-es.tsv.gz,
Statmt-news_commentary-18.1-eng-fra,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-fr.tsv.gz,
Statmt-news_commentary-18.1-eng-hin,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-hi.tsv.gz,
Statmt-news_commentary-18.1-eng-ind,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-id.tsv.gz,
Statmt-news_commentary-18.1-eng-ita,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-it.tsv.gz,
Statmt-news_commentary-18.1-eng-jpn,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-ja.tsv.gz,
Statmt-news_commentary-18.1-eng-kaz,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-kk.tsv.gz,
Statmt-news_commentary-18.1-eng-nld,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-nl.tsv.gz,
Statmt-news_commentary-18.1-eng-por,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-pt.tsv.gz,
Statmt-news_commentary-18.1-eng-rus,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-ru.tsv.gz,
Statmt-news_commentary-18.1-eng-zho,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.en-zh.tsv.gz,
Statmt-wiki_titles-1-ces-eng,http://data.statmt.org/wikititles/v1/wikititles-v1.cs-en.tsv.gz,
Statmt-wiki_titles-1-deu-eng,http://data.statmt.org/wikititles/v1/wikititles-v1.de-en.tsv.gz,
Statmt-wiki_titles-1-fin-eng,http://data.statmt.org/wikititles/v1/wikititles-v1.fi-en.tsv.gz,
Statmt-wiki_titles-1-guj-eng,http://data.statmt.org/wikititles/v1/wikititles-v1.gu-en.tsv.gz,
Statmt-wiki_titles-1-kaz-eng,http://data.statmt.org/wikititles/v1/wikititles-v1.kk-en.tsv.gz,
Statmt-wiki_titles-1-lit-eng,http://data.statmt.org/wikititles/v1/wikititles-v1.lt-en.tsv.gz,
Statmt-wiki_titles-1-rus-eng,http://data.statmt.org/wikititles/v1/wikititles-v1.ru-en.tsv.gz,
Statmt-wiki_titles-1-zho-eng,http://data.statmt.org/wikititles/v1/wikititles-v1.zh-en.tsv.gz,
Statmt-wiki_titles-2-ces-eng,http://data.statmt.org/wikititles/v2/wikititles-v2.cs-en.tsv.gz,
Statmt-wiki_titles-2-deu-eng,http://data.statmt.org/wikititles/v2/wikititles-v2.de-en.tsv.gz,
Statmt-wiki_titles-2-iku-eng,http://data.statmt.org/wikititles/v2/wikititles-v2.iu-en.tsv.gz,
Statmt-wiki_titles-2-jpn-eng,http://data.statmt.org/wikititles/v2/wikititles-v2.ja-en.tsv.gz,
Statmt-wiki_titles-2-pol-eng,http://data.statmt.org/wikititles/v2/wikititles-v2.pl-en.tsv.gz,
Statmt-wiki_titles-2-pus-eng,http://data.statmt.org/wikititles/v2/wikititles-v2.ps-en.tsv.gz,
Statmt-wiki_titles-2-rus-eng,http://data.statmt.org/wikititles/v2/wikititles-v2.ru-en.tsv.gz,
Statmt-wiki_titles-2-tam-eng,http://data.statmt.org/wikititles/v2/wikititles-v2.ta-en.tsv.gz,
Statmt-wiki_titles-2-zho-eng,http://data.statmt.org/wikititles/v2/wikititles-v2.zh-en.tsv.gz,
Statmt-wikititles-3-ces-eng,http://data.statmt.org/wikititles/v3/wikititles-v3.cs-en.tsv,
Statmt-wikititles-3-deu-eng,http://data.statmt.org/wikititles/v3/wikititles-v3.de-en.tsv,
Statmt-wikititles-3-hau-eng,http://data.statmt.org/wikititles/v3/wikititles-v3.ha-en.tsv,
Statmt-wikititles-3-ibo-eng,http://data.statmt.org/wikititles/v3/wikititles-v3.ig-en.tsv,
Statmt-wikititles-3-isl-eng,http://data.statmt.org/wikititles/v3/wikititles-v3.is-en.tsv,
Statmt-wikititles-3-jpn-eng,http://data.statmt.org/wikititles/v3/wikititles-v3.ja-en.tsv,
Statmt-wikititles-3-pus-eng,http://data.statmt.org/wikititles/v3/wikititles-v3.ps-en.tsv,
Statmt-wikititles-3-rus-eng,http://data.statmt.org/wikititles/v3/wikititles-v3.ru-en.tsv,
Statmt-wikititles-3-zho-eng,http://data.statmt.org/wikititles/v3/wikititles-v3.zh-en.tsv,
Statmt-newstest_deen-2014-deu-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2014-deen-src.de.sgm,dev/newstest2014-deen-ref.en.sgm
Statmt-newstest_csen-2014-ces-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2014-csen-src.cs.sgm,dev/newstest2014-csen-ref.en.sgm
Statmt-newstest_fren-2014-fra-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2014-fren-src.fr.sgm,dev/newstest2014-fren-ref.en.sgm
Statmt-newstest_ruen-2014-rus-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2014-ruen-src.ru.sgm,dev/newstest2014-ruen-ref.en.sgm
Statmt-newstest_hien-2014-hin-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2014-hien-src.hi.sgm,dev/newstest2014-hien-ref.en.sgm
Statmt-newsdev_fien-2015-fin-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2015-fien-src.fi.sgm,dev/newsdev2015-fien-ref.en.sgm
Statmt-newsdev_enfi-2015-eng-fin,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2015-enfi-src.en.sgm,dev/newsdev2015-enfi-ref.fi.sgm
Statmt-newstest_fien-2015-fin-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2015-fien-src.fi.sgm,dev/newstest2015-fien-ref.en.sgm
Statmt-newstest_encs-2015-eng-ces,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2015-encs-src.en.sgm,dev/newstest2015-encs-ref.cs.sgm
Statmt-newstest_csen-2015-ces-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2015-csen-src.cs.sgm,dev/newstest2015-csen-ref.en.sgm
Statmt-newstest_enru-2015-eng-rus,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2015-enru-src.en.sgm,dev/newstest2015-enru-ref.ru.sgm
Statmt-newstest_ende-2015-eng-deu,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2015-ende-src.en.sgm,dev/newstest2015-ende-ref.de.sgm
Statmt-newstest_deen-2015-deu-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2015-deen-src.de.sgm,dev/newstest2015-deen-ref.en.sgm
Statmt-newstest_ruen-2015-rus-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2015-ruen-src.ru.sgm,dev/newstest2015-ruen-ref.en.sgm
Statmt-newstest_enfi-2015-eng-fin,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2015-enfi-src.en.sgm,dev/newstest2015-enfi-ref.fi.sgm
Statmt-newsdev_enro-2016-eng-ron,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2016-enro-src.en.sgm,dev/newsdev2016-enro-ref.ro.sgm
